ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Meta: _usa_sale_price_dates","Meta: _usa_sale_price_dates_from","Meta: _usa_sale_price_dates_to","Meta: cwg_total_subscribers","Meta: _aioseo_keywords","Meta: _aioseo_og_article_section","Meta: _aioseo_og_article_tags","Meta: enable_page_count","Meta: enable_page_count_day_wise","Meta: _wp_page_template","Meta: _wc_mmax_prd_opt_enable","Meta: _wc_mmax_max","Meta: _wc_mmax_min","Meta: prod-chart","Meta: wcpa_exclude_global_forms","Meta: _aioseo_title","Meta: _aioseo_description"
3011,simple,,"DESI WEAVE + BLUE FLORA ( Set of 2 )",1,0,visible,"<span style=""background-color: #ffffff; color: #b1a690;"">Shipping</span> calculated at checkout.
\n
\n<strong>( comes with 50ml empty bottle )</strong>
\n
\n<strong>USUALLY DELIVERED WITHIN 4-7 DAYS</strong>
\n
\nSet of 2 Hanging Hand Sanitizer Holder.
\n
\nIf you are like us who struggles to find hand sanitizer at the bottom of your bag.
\n
\nSo here is a great way to keep your sanitizer to hand , SANITIZER JACKET that clips to your purse, laptop bag, keys, school bags, backpacks, sling bag, diaper bags, etc. or can be clipped with a lanyard.
\n
\nIt comes with an empty bottle to fill in with any of your desired sanitizer or you can put in an existing bottle too of 50 ml.","<strong>Material</strong> : Canvas with plastic bottles
\n
\n<strong>Dimensions</strong> : 1L X  2W X  4H INC
\n
\n<strong>CARE INSTRUCTIONS</strong>
\n
\nHandle with care, will chip or tear on impact. Always wipe with a soft cloth. Do not machine or hand wash. Dry clean only.
\n
\nColour may vary slightly in actual due to varied computer screen
\n
\n<strong>RETURN/ EXCHANGE POLICY</strong>
\n
\nOur products are handmade, every piece won’t have been made in an anonymous factory, they have been worked by hand, by a craftsman. Hence there will be slight variations &amp; natural blemishes which are not product flaws but inherent part of the manufacturing process.
\n
\nWe do not accept returns or offer refunds due to high cost of shipping.
\n
\nWe may offer exchanges under limited circumstances. If an item is damaged while transit or  does not matches with the order , customers must e-mail their concern with the order number and photographs of the issue , if possible an unpacking video within 7 days of receiving items for an exchange. Items mailed back for exchange must be unworn, undamaged, and in their original packaging. Urboii reserves the right to refuse any exchange where the product returned is not in its original condition. The customer is responsible for all shipping charges.",,,taxable,,1,23,,0,0,,,,,1,,,249,"ACCESSORIES, ACCESSORIES > Hand Sanitizer Jackets",,,"https://www.urboii.com/wp-content/uploads/2020/05/AUTUMN-CITY-BLUE-FLORA-01.jpg, https://www.urboii.com/wp-content/uploads/2020/05/BLUE-FLORA-2.jpg, https://www.urboii.com/wp-content/uploads/2020/05/DESI-WEAVE-ON-BAG-01-1.jpg, https://www.urboii.com/wp-content/uploads/2020/05/AUTUMN-CITY-BLUE-FLORA-BACK-01-1.jpg",,,,,,,,,0,,default,,,0,,,,yes,yes,default,,,,,
3015,simple,,"CLASSIC SUNFLOWER + DAWN ( Set of 2 )",1,0,visible,"<span style=""background-color: #ffffff; color: #b1a690;"">Shipping</span> calculated at checkout.
\n
\n<strong>( comes with 50ml empty bottle )</strong>
\n
\n<strong>USUALLY DELIVERED WITHIN 4-7 DAYS</strong>
\n
\nSet of 2 Hanging Hand Sanitizer Jacket.
\n
\nIf you are like us who struggles to find hand sanitizer at the bottom of your bag.
\n
\nSo here is a great way to keep your sanitizer to hand , SANITIZER JACKET that clips to your purse, laptop bag, keys, school bags, backpacks, sling bag, diaper bags, etc. or can be clipped with a lanyard.
\n
\nIt comes with an empty bottle to fill in with any of your desired sanitizer or you can put in an existing bottle too of 50 ml.","<strong>Material</strong> : Canvas with plastic bottle
\n
\n<strong>Dimensions</strong> : 1L X  2W X  4H INC
\n
\n<strong>CARE INSTRUCTIONS</strong>
\n
\nHandle with care, will chip or tear on impact. Always wipe with a soft cloth. Do not machine or hand wash. Dry clean only.
\n
\nColour may vary slightly in actual due to varied computer screen
\n
\n<strong>RETURN/ EXCHANGE POLICY</strong>
\n
\nOur products are handmade, every piece won’t have been made in an anonymous factory, they have been worked by hand, by a craftsman. Hence there will be slight variations &amp; natural blemishes which are not product flaws but inherent part of the manufacturing process.
\n
\nWe do not accept returns or offer refunds due to high cost of shipping.
\n
\nWe may offer exchanges under limited circumstances. If an item is damaged while transit or  does not matches with the order , customers must e-mail their concern with the order number and photographs of the issue , if possible an unpacking video within 7 days of receiving items for an exchange. Items mailed back for exchange must be unworn, undamaged, and in their original packaging. Urboii reserves the right to refuse any exchange where the product returned is not in its original condition. The customer is responsible for all shipping charges.",,,taxable,,1,16,,0,0,,,,,1,,,249,"ACCESSORIES, ACCESSORIES > Hand Sanitizer Jackets",,,"https://www.urboii.com/wp-content/uploads/2020/05/CLASSIC-SUNFLOWER-DAWN-01.jpg, https://www.urboii.com/wp-content/uploads/2020/05/CLASSIC-SUNFLOWER-ON-BAG-01.jpg, https://www.urboii.com/wp-content/uploads/2020/05/DAWN-ON-BAG-01.jpg, https://www.urboii.com/wp-content/uploads/2020/05/CLASSIC-SUNFLOWER-DAWN-BACK-01.jpg",,,,,,,,,0,,default,,,0,,,,yes,yes,default,,,,,
3019,simple,,"THE TRIBE + CORPORATE ( Set of 2 )",1,0,visible,"<span style=""background-color: #ffffff; color: #b1a690;"">Shipping</span> calculated at checkout.
\n
\n<strong>( comes with 50ml empty bottle )</strong>
\n
\n<strong>USUALLY DELIVERED WITHIN 4-7 DAYS</strong>
\n
\nSet of 2 Hand Sanitizer Hanging Holder.
\n
\nIf you are like us who struggles to find hand sanitizer at the bottom of your bag.
\n
\nSo here is a great way to keep your sanitizer to hand , SANITIZER JACKET that clips to your purse, laptop bag, keys, school bags, backpacks, sling bag, diaper bags, etc. or can be clipped with a lanyard.
\n
\nIt comes with an empty bottle to fill in with any of your desired sanitizer or you can put in an existing bottle too of 50 ml.","<strong>Material</strong> : Canvas with plastic bottle
\n
\n<strong>Dimensions</strong> : 1L X  2W X  4H INC
\n
\n<strong>CARE INSTRUCTIONS</strong>
